,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
0:00:00,0,0.982,8.608,140.6,140.4,140.3
0:00:01,1,0.975,8.607,140.6,140.4,140.3
0:00:02,2,0.980,8.607,140.6,140.4,140.3
0:00:03,3,0.970,8.608,140.6,140.4,140.4
0:00:04,4,0.973,8.607,140.6,140.4,149.0
0:00:05,5,0.975,8.608,140.6,140.4,149.0
0:00:06,6,0.970,8.607,140.6,140.4,149.1
0:00:07,7,0.977,8.608,140.6,140.4,149.0
0:00:08,8,0.975,8.608,140.6,140.4,149.0
0:00:09,9,0.972,8.607,140.6,140.4,149.0
0:00:10,10,0.967,8.609,140.6,140.4,149.0
0:00:11,11,0.975,8.608,140.6,140.4,149.0
0:00:12,12,0.973,8.607,140.6,140.4,149.0
0:00:13,13,0.968,8.608,140.6,140.4,149.0
0:00:14,14,0.968,8.607,140.6,140.4,149.0
0:00:15,15,0.961,8.608,140.6,140.4,149.0
0:00:16,16,0.962,8.608,140.6,140.4,149.0
0:00:17,17,0.961,8.608,140.6,140.4,149.0
0:00:18,18,0.962,8.609,140.6,140.4,149.0
0:00:19,19,0.964,8.607,140.7,140.4,149.0
0:00:20,20,0.967,8.608,140.7,140.4,149.0
0:00:21,21,0.962,8.607,140.8,140.4,149.0
0:00:22,22,0.957,8.605,149.5,140.5,149.1
0:00:23,23,0.962,8.606,149.4,149.2,149.1
0:00:24,24,0.967,8.605,149.4,149.2,149.1
0:00:25,25,0.959,8.606,149.4,149.2,149.1
0:00:26,26,0.949,8.606,149.4,149.2,149.1
0:00:27,27,0.958,8.605,149.4,149.2,149.1
0:00:28,28,0.958,8.606,149.4,149.2,149.1
0:00:29,29,0.957,8.605,149.4,149.2,149.1
0:00:30,30,0.953,8.605,149.5,149.2,149.1
0:00:31,31,0.956,8.606,149.4,149.2,149.1
0:00:32,32,0.949,8.605,149.5,149.2,149.1
0:00:33,33,0.954,8.606,149.4,149.2,149.1
0:00:34,34,0.949,8.605,149.5,149.2,149.1
0:00:35,35,0.949,8.605,149.4,149.2,149.1
0:00:36,36,0.944,8.606,149.4,149.2,149.1
0:00:37,37,0.947,8.605,149.4,149.2,149.1
0:00:38,38,0.942,8.606,149.5,149.2,149.1
0:00:39,39,0.947,8.606,149.4,149.2,149.1
0:00:40,40,0.944,8.605,149.4,149.2,149.1
0:00:41,41,0.945,8.606,149.5,149.2,149.1
0:00:42,42,0.937,8.606,149.5,149.2,149.1
0:00:43,43,0.942,8.606,149.4,149.2,158.6
0:00:44,44,0.940,8.606,149.5,149.2,158.6
0:00:45,45,0.935,8.605,149.5,149.2,158.7
0:00:46,46,0.940,8.606,149.5,149.2,158.6
0:00:47,47,0.935,8.604,149.5,149.2,158.7
0:00:48,48,0.930,8.606,149.4,149.2,158.6
0:00:49,49,0.933,8.606,149.4,149.2,158.6
0:00:50,50,0.932,8.605,149.5,149.2,158.7
0:00:51,51,0.925,8.605,149.5,149.2,158.6
