,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
120:00:10,432010,0.810,8.646,169.8,169.5,181.0
120:00:11,432011,0.800,8.646,169.8,169.5,181.0
120:00:12,432012,0.800,8.646,169.8,169.5,181.0
120:00:13,432013,0.808,8.646,169.8,169.5,181.0
120:00:14,432014,0.798,8.645,169.8,169.5,181.0
120:00:15,432015,0.795,8.646,169.8,169.5,181.0
120:00:16,432016,0.798,8.646,169.8,169.5,181.0
120:00:17,432017,0.795,8.645,169.8,169.5,181.0
120:00:18,432018,0.798,8.646,169.9,169.5,181.1
120:00:19,432019,0.793,8.645,177.1,169.6,181.1
120:00:20,432020,0.798,8.645,181.5,169.6,181.0
120:00:21,432021,0.791,8.645,181.5,169.6,181.0
120:00:22,432022,0.788,8.645,181.5,169.6,181.0
120:00:23,432023,0.788,8.646,181.5,169.6,181.0
120:00:24,432024,0.793,8.645,181.5,169.6,181.1
120:00:25,432025,0.784,8.645,181.5,180.4,181.1
120:00:26,432026,0.784,8.645,181.5,181.2,181.1
120:00:27,432027,0.781,8.644,181.5,181.2,181.1
120:00:28,432028,0.781,8.645,181.5,181.2,181.1
120:00:29,432029,0.781,8.644,181.5,181.2,181.1
120:00:30,432030,0.781,8.644,181.5,181.2,181.1
120:00:31,432031,0.779,8.644,181.5,181.2,181.1
120:00:32,432032,0.774,8.644,181.5,181.2,181.1
120:00:33,432033,0.781,8.645,181.5,181.2,181.1
120:00:34,432034,0.779,8.644,181.5,181.2,181.1
120:00:35,432035,0.772,8.644,181.5,181.2,181.1
120:00:36,432036,0.774,8.644,181.5,181.2,181.1
120:00:37,432037,0.772,8.643,181.5,181.2,181.1
120:00:38,432038,0.770,8.644,181.5,181.2,181.1
120:00:39,432039,0.774,8.644,181.5,181.2,181.1
120:00:40,432040,0.767,8.643,181.5,181.2,181.1
120:00:41,432041,0.770,8.645,181.5,181.2,181.1
120:00:42,432042,0.763,8.643,181.5,181.2,181.1
120:00:43,432043,0.760,8.644,181.5,181.2,181.1
120:00:44,432044,0.763,8.644,181.5,181.2,181.1
120:00:45,432045,0.760,8.643,181.5,181.3,181.1
120:00:46,432046,0.763,8.644,181.5,181.2,181.1
120:00:47,432047,0.767,8.643,181.6,181.3,181.1
120:00:48,432048,0.763,8.644,181.5,181.3,181.1
120:00:49,432049,0.762,8.644,181.6,181.3,181.1
120:00:50,432050,0.758,8.643,181.6,181.3,181.1
120:00:51,432051,0.760,8.644,181.5,181.3,181.1
120:00:52,432052,0.763,8.644,181.5,181.2,181.1
120:00:53,432053,0.760,8.643,181.5,181.3,181.1
120:00:54,432054,0.756,8.643,181.6,181.3,190.1
120:00:55,432055,0.756,8.642,181.6,181.3,194.0
120:00:56,432056,0.754,8.643,181.6,181.3,194.0
120:00:57,432057,0.755,8.643,181.6,181.3,194.0
120:00:58,432058,0.753,8.642,181.6,181.3,194.1
120:00:59,432059,0.755,8.643,181.6,181.3,194.0
120:01:00,432060,0.753,8.643,181.6,181.3,194.0
120:01:01,432061,0.753,8.642,181.6,181.3,194.1
120:01:02,432062,0.751,8.642,181.6,181.3,194.1
120:01:03,432063,0.748,8.642,181.6,181.3,194.1
120:01:04,432064,0.751,8.642,181.6,181.3,194.1
120:01:05,432065,0.755,8.642,182.2,181.3,194.1
120:01:06,432066,0.754,8.643,194.5,181.3,194.0
120:01:07,432067,0.753,8.643,194.5,181.3,194.0
120:01:08,432068,0.751,8.642,194.5,181.3,194.0
120:01:09,432069,0.747,8.643,194.5,181.3,194.0
120:01:10,432070,0.746,8.643,194.5,181.3,194.0
120:01:11,432071,0.743,8.642,194.5,181.3,194.0
120:01:12,432072,0.742,8.643,194.5,181.3,194.0
120:01:13,432073,0.742,8.642,194.5,181.3,194.0
120:01:14,432074,0.741,8.643,194.5,181.3,194.0
120:01:15,432075,0.745,8.643,194.5,181.3,194.0
120:01:16,432076,0.744,8.643,194.5,181.3,194.0
120:01:17,432077,0.741,8.644,194.5,181.3,194.0
120:01:18,432078,0.741,8.643,194.5,181.3,194.0
120:01:19,432079,0.738,8.644,194.5,181.3,194.0
120:01:20,432080,0.736,8.644,194.5,181.3,194.0
120:01:21,432081,0.735,8.643,194.5,188.8,194.0
120:01:22,432082,0.734,8.643,194.5,194.3,194.0
120:01:23,432083,0.739,8.643,194.5,194.3,194.0
120:01:24,432084,0.741,8.643,194.5,194.3,194.0
120:01:25,432085,0.736,8.643,194.5,194.3,194.0
120:01:26,432086,0.734,8.643,194.5,194.3,194.0
120:01:27,432087,0.732,8.643,194.5,194.3,194.0
120:01:28,432088,0.732,8.643,194.5,194.3,194.0
120:01:29,432089,0.730,8.643,194.5,194.3,194.0
120:01:30,432090,0.729,8.643,194.5,194.3,194.0
120:01:31,432091,0.733,8.642,194.5,194.3,194.0
120:01:32,432092,0.731,8.644,194.5,194.3,194.0
120:01:33,432093,0.731,8.643,194.5,194.3,194.0
120:01:34,432094,0.730,8.643,194.5,194.3,194.0
120:01:35,432095,0.730,8.644,194.5,194.3,194.0
120:01:36,432096,0.729,8.643,194.5,194.3,194.0
120:01:37,432097,0.728,8.643,194.5,194.3,194.0
120:01:38,432098,0.729,8.643,194.5,194.3,194.0
120:01:39,432099,0.727,8.643,194.5,194.3,194.0
120:01:40,432100,0.727,8.643,194.5,194.3,194.1
120:01:41,432101,0.723,8.642,194.5,194.3,194.0
120:01:42,432102,0.722,8.643,194.5,194.3,194.1
120:01:43,432103,0.722,8.643,194.5,194.3,194.0
120:01:44,432104,0.722,8.642,194.5,194.3,194.1
120:01:45,432105,0.720,8.643,194.5,194.3,194.1
120:01:46,432106,0.718,8.642,194.5,194.3,194.1
120:01:47,432107,0.718,8.642,194.5,194.3,194.1
120:01:48,432108,0.718,8.643,194.5,194.3,194.1
120:01:49,432109,0.718,8.642,194.5,194.3,197.9
120:01:50,432110,0.715,8.643,194.5,194.3,207.9
120:01:51,432111,0.715,8.642,194.5,194.3,207.9
120:01:52,432112,0.715,8.642,194.5,194.3,207.9
120:01:53,432113,0.715,8.643,194.5,194.3,207.9
120:01:54,432114,0.713,8.642,194.5,194.3,207.9
120:01:55,432115,0.715,8.643,194.5,194.3,207.9
120:01:56,432116,0.715,8.643,194.5,194.3,207.9
120:01:57,432117,0.708,8.642,194.5,194.3,207.9
120:01:58,432118,0.706,8.643,194.5,194.3,207.9
120:01:59,432119,0.711,8.643,194.5,194.3,207.9
120:02:00,432120,0.706,8.643,194.5,194.3,207.9
120:02:01,432121,0.703,8.643,194.5,194.3,207.9
120:02:02,432122,0.700,8.642,194.5,194.3,207.9
120:02:03,432123,0.703,8.643,194.5,194.3,207.9
120:02:04,432124,0.696,8.642,194.5,194.3,207.9
120:02:05,432125,0.698,8.643,194.5,194.3,207.9
120:02:06,432126,0.693,8.643,194.5,194.3,207.9
120:02:07,432127,0.700,8.642,194.5,194.3,208.0
120:02:08,432128,0.700,8.643,194.5,194.3,207.9
120:02:09,432129,0.700,8.643,194.5,194.3,207.9
120:02:10,432130,0.700,8.643,194.5,194.3,207.9
120:02:11,432131,0.696,8.644,194.5,194.3,207.9
120:02:12,432132,0.693,8.643,194.5,194.3,207.9
120:02:13,432133,0.693,8.644,194.5,194.3,207.9
120:02:14,432134,0.691,8.644,194.6,194.3,207.9
120:02:15,432135,0.689,8.644,194.6,194.3,207.9
120:02:16,432136,0.691,8.644,194.6,194.3,207.9
120:02:17,432137,0.688,8.645,208.0,194.3,207.9
120:02:18,432138,0.686,8.645,208.4,194.3,207.9
120:02:19,432139,0.684,8.645,208.4,194.3,207.9
120:02:20,432140,0.677,8.644,208.4,194.3,207.9
120:02:21,432141,0.682,8.645,208.4,194.3,207.9
120:02:22,432142,0.679,8.645,208.4,194.3,207.9
120:02:23,432143,0.682,8.645,208.4,194.3,207.9
120:02:24,432144,0.679,8.646,208.4,203.7,207.9
120:02:25,432145,0.678,8.645,208.4,208.1,207.9
120:02:26,432146,0.670,8.646,208.4,208.1,207.9
120:02:27,432147,0.677,8.646,208.4,208.1,207.9
120:02:28,432148,0.675,8.645,208.4,208.1,207.9
120:02:29,432149,0.675,8.646,208.4,208.1,207.9
120:02:30,432150,0.677,8.645,208.4,208.1,207.9
120:02:31,432151,0.675,8.646,208.4,208.1,207.9
120:02:32,432152,0.667,8.645,208.4,208.1,207.9
120:02:33,432153,0.667,8.645,208.4,208.1,207.9
120:02:34,432154,0.668,8.646,208.4,208.1,207.9
120:02:35,432155,0.667,8.645,208.4,208.1,207.9
120:02:36,432156,0.667,8.646,208.4,208.1,207.9
120:02:37,432157,0.667,8.645,208.4,208.1,207.9
120:02:38,432158,0.663,8.645,208.4,208.1,207.9
120:02:39,432159,0.663,8.646,208.4,208.1,207.9
120:02:40,432160,0.663,8.645,208.4,208.1,207.9
120:02:41,432161,0.663,8.645,208.4,208.1,207.9
120:02:42,432162,0.662,8.646,208.4,208.1,207.9
120:02:43,432163,0.660,8.644,208.4,208.1,207.9
120:02:44,432164,0.663,8.645,208.4,208.1,207.9
120:02:45,432165,0.663,8.645,208.4,208.1,207.9
120:02:46,432166,0.661,8.645,208.4,208.1,207.9
120:02:47,432167,0.655,8.645,208.4,208.1,207.9
120:02:48,432168,0.654,8.645,208.4,208.1,207.9
120:02:49,432169,0.656,8.645,208.4,208.1,207.9
120:02:50,432170,0.655,8.645,208.4,208.1,207.9
120:02:51,432171,0.653,8.645,208.4,208.1,207.9
120:02:52,432172,0.651,8.646,208.4,208.1,207.9
120:02:53,432173,0.652,8.645,208.4,208.1,208.0
120:02:54,432174,0.652,8.645,208.4,208.1,208.0
120:02:55,432175,0.650,8.645,208.4,208.1,208.0
120:02:56,432176,0.650,8.645,208.4,208.1,208.0
120:02:57,432177,0.649,8.645,208.4,208.1,215.8
120:02:58,432178,0.647,8.645,208.4,208.1,222.7
120:02:59,432179,0.644,8.645,208.4,208.2,222.7
120:03:00,432180,0.644,8.645,208.4,208.1,222.7
120:03:01,432181,0.644,8.644,208.4,208.2,222.7
120:03:02,432182,0.644,8.645,208.4,208.2,222.7
120:03:03,432183,0.644,8.645,208.4,208.2,222.7
120:03:04,432184,0.643,8.645,208.4,208.2,222.7
120:03:05,432185,0.643,8.645,208.4,208.2,222.7
120:03:06,432186,0.643,8.644,208.5,208.2,222.7
