,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
12:00:01,43201,0.641,8.698,208.4,222.9,222.7
12:00:02,43202,0.640,8.698,208.4,222.9,222.7
12:00:03,43203,0.640,8.698,208.4,222.9,222.7
12:00:04,43204,0.640,8.698,208.4,222.9,222.7
12:00:05,43205,0.642,8.698,208.4,222.9,222.7
12:00:06,43206,0.641,8.698,208.4,222.9,222.7
12:00:07,43207,0.638,8.698,208.4,222.9,222.7
12:00:08,43208,0.639,8.698,208.4,222.9,222.7
12:00:09,43209,0.639,8.698,208.4,222.9,222.7
12:00:10,43210,0.638,8.698,208.4,222.9,222.7
12:00:11,43211,0.639,8.699,208.4,222.9,222.7
12:00:12,43212,0.637,8.698,208.4,222.9,222.7
12:00:13,43213,0.635,8.699,208.5,222.9,222.7
12:00:14,43214,0.635,8.699,208.4,222.9,222.7
12:00:15,43215,0.634,8.698,208.5,222.9,222.7
12:00:16,43216,0.632,8.699,208.5,222.9,222.7
12:00:17,43217,0.631,8.698,208.5,222.9,222.7
12:00:18,43218,0.631,8.699,223.2,222.9,222.7
12:00:19,43219,0.629,8.7,223.2,222.9,222.7
12:00:20,43220,0.628,8.699,223.2,222.9,222.7
12:00:21,43221,0.628,8.699,223.2,222.9,222.7
12:00:22,43222,0.628,8.699,223.2,222.9,222.7
12:00:23,43223,0.626,8.699,223.2,222.9,222.7
12:00:24,43224,0.626,8.7,223.2,222.9,222.7
12:00:25,43225,0.627,8.698,223.2,222.9,222.7
12:00:26,43226,0.628,8.699,223.2,222.9,222.7
12:00:27,43227,0.626,8.699,223.2,222.9,222.7
12:00:28,43228,0.624,8.699,223.2,222.9,222.7
12:00:29,43229,0.623,8.699,223.2,222.9,239.0
12:00:30,43230,0.623,8.699,223.2,222.9,239.0
12:00:31,43231,0.623,8.699,223.2,222.9,239.0
12:00:32,43232,0.621,8.699,223.2,222.9,239.0
12:00:33,43233,0.623,8.699,223.2,222.9,239.0
12:00:34,43234,0.619,8.699,223.2,222.9,239.0
12:00:35,43235,0.623,8.699,223.2,222.9,239.0
12:00:36,43236,0.619,8.7,223.2,222.9,239.0
12:00:37,43237,0.617,8.7,223.2,222.9,239.0
12:00:38,43238,0.616,8.699,223.2,222.9,239.0
12:00:39,43239,0.612,8.7,223.2,222.9,239.0
12:00:40,43240,0.616,8.699,223.2,222.9,239.0
12:00:41,43241,0.612,8.699,223.2,222.9,239.0
12:00:42,43242,0.616,8.7,223.2,222.9,239.0
12:00:43,43243,0.612,8.699,223.2,223.0,239.0
12:00:44,43244,0.612,8.7,223.2,222.9,239.0
12:00:45,43245,0.614,8.7,223.2,223.0,239.0
12:00:46,43246,0.609,8.699,223.2,223.0,239.0
12:00:47,43247,0.612,8.7,223.2,235.7,239.0
12:00:48,43248,0.609,8.7,223.2,239.2,239.0
12:00:49,43249,0.604,8.7,223.2,239.2,239.0
12:00:50,43250,0.604,8.7,223.2,239.2,239.0
12:00:51,43251,0.604,8.7,223.3,239.2,239.0
12:00:52,43252,0.601,8.7,223.2,239.2,239.0
12:00:53,43253,0.601,8.7,223.2,239.2,239.0
12:00:54,43254,0.604,8.7,223.2,239.2,239.0
12:00:55,43255,0.596,8.7,223.3,239.2,239.0
12:00:56,43256,0.596,8.699,223.3,239.2,239.0
12:00:57,43257,0.599,8.7,223.3,239.2,239.0
12:00:58,43258,0.589,8.7,223.3,239.2,239.0
12:00:59,43259,0.589,8.7,223.3,239.2,239.0
12:01:00,43260,0.589,8.7,223.3,239.2,239.0
12:01:01,43261,0.587,8.7,223.3,239.2,239.0
12:01:02,43262,0.587,8.7,223.3,239.2,239.0
12:01:03,43263,0.587,8.7,223.3,239.2,239.0
12:01:04,43264,0.582,8.7,223.3,239.2,239.0
12:01:05,43265,0.582,8.701,223.2,239.2,239.0
12:01:06,43266,0.582,8.7,223.3,239.2,239.0
12:01:07,43267,0.577,8.701,223.3,239.2,239.0
12:01:08,43268,0.575,8.7,223.3,239.2,239.0
12:01:09,43269,0.572,8.699,223.3,239.2,239.0
12:01:10,43270,0.573,8.7,223.3,239.2,239.0
12:01:11,43271,0.573,8.7,223.3,239.2,239.0
12:01:12,43272,0.570,8.7,223.3,239.2,239.0
12:01:13,43273,0.573,8.701,223.3,239.2,239.0
12:01:14,43274,0.565,8.7,223.3,239.2,239.0
12:01:15,43275,0.566,8.701,223.3,239.2,239.0
12:01:16,43276,0.561,8.7,223.3,239.2,239.0
12:01:17,43277,0.558,8.7,223.3,239.2,239.0
12:01:18,43278,0.559,8.701,223.3,239.2,239.0
12:01:19,43279,0.558,8.7,223.3,239.2,239.0
12:01:20,43280,0.556,8.701,223.3,239.2,239.0
12:01:21,43281,0.551,8.701,223.3,239.2,239.0
12:01:22,43282,0.551,8.7,223.3,239.2,239.0
12:01:23,43283,0.551,8.7,223.3,239.2,239.0
12:01:24,43284,0.549,8.7,223.3,239.2,239.0
12:01:25,43285,0.547,8.701,223.3,239.2,239.0
12:01:26,43286,0.547,8.7,223.3,239.2,239.0
12:01:27,43287,0.549,8.7,223.3,239.2,239.0
12:01:28,43288,0.544,8.701,223.3,239.2,239.0
12:01:29,43289,0.544,8.7,223.3,239.2,239.0
12:01:30,43290,0.547,8.701,223.3,239.2,239.0
12:01:31,43291,0.547,8.701,223.3,239.2,239.0
12:01:32,43292,0.537,8.7,223.3,239.2,239.0
12:01:33,43293,0.537,8.701,223.3,239.2,239.0
12:01:34,43294,0.537,8.7,223.3,239.2,239.0
12:01:35,43295,0.535,8.7,223.3,239.2,239.0
12:01:36,43296,0.537,8.7,223.3,239.2,239.0
12:01:37,43297,0.537,8.699,223.3,239.2,239.0
12:01:38,43298,0.533,8.7,223.3,239.2,239.0
12:01:39,43299,0.525,8.699,223.3,239.2,239.0
12:01:40,43300,0.525,8.699,223.3,239.2,239.0
12:01:41,43301,0.525,8.7,223.3,239.2,239.0
12:01:42,43302,0.520,8.699,223.3,239.2,239.0
12:01:43,43303,0.525,8.7,223.3,239.2,239.0
12:01:44,43304,0.518,8.699,223.3,239.2,239.0
12:01:45,43305,0.518,8.699,223.3,239.2,239.0
12:01:46,43306,0.518,8.699,223.3,239.2,239.0
12:01:47,43307,0.511,8.699,223.3,239.2,239.0
12:01:48,43308,0.516,8.7,223.3,239.2,239.0
12:01:49,43309,0.516,8.699,223.3,239.2,239.0
12:01:50,43310,0.511,8.699,223.3,239.2,239.0
12:01:51,43311,0.506,8.699,223.3,239.2,239.0
12:01:52,43312,0.508,8.699,223.3,239.2,239.0
12:01:53,43313,0.506,8.699,223.3,239.2,239.0
12:01:54,43314,0.503,8.699,223.3,239.2,239.0
12:01:55,43315,0.503,8.699,223.2,239.2,239.0
12:01:56,43316,0.503,8.699,223.3,239.2,239.0
12:01:57,43317,0.506,8.698,223.3,239.2,239.0
12:01:58,43318,0.506,8.699,223.2,239.2,239.0
12:01:59,43319,0.503,8.698,223.3,239.2,239.0
12:02:00,43320,0.503,8.698,223.3,239.2,239.0
12:02:01,43321,0.496,8.698,223.3,239.2,239.0
12:02:02,43322,0.496,8.698,223.3,239.2,239.0
12:02:03,43323,0.497,8.698,223.3,239.2,239.0
12:02:04,43324,0.494,8.698,223.3,239.2,239.0
12:02:05,43325,0.493,8.697,223.3,239.2,239.0
12:02:06,43326,0.495,8.698,223.2,239.2,239.0
12:02:07,43327,0.496,8.698,223.3,239.2,239.0
12:02:08,43328,0.492,8.697,223.3,239.2,239.0
12:02:09,43329,0.493,8.698,223.3,239.2,239.0
12:02:10,43330,0.491,8.697,223.3,239.2,239.0
12:02:11,43331,0.489,8.697,223.3,239.2,239.0
12:02:12,43332,0.486,8.697,223.3,239.2,239.0
12:02:13,43333,0.489,8.696,223.3,239.2,239.0
12:02:14,43334,0.484,8.696,223.3,239.2,239.0
12:02:15,43335,0.483,8.696,223.3,239.2,239.0
12:02:16,43336,0.482,8.697,223.3,239.2,239.0
12:02:17,43337,0.483,8.697,223.3,239.2,239.0
12:02:18,43338,0.481,8.695,223.3,239.2,239.0
12:02:19,43339,0.479,8.696,223.3,239.2,239.0
12:02:20,43340,0.477,8.696,223.3,239.2,239.0
12:02:21,43341,0.475,8.696,223.3,239.2,239.0
12:02:22,43342,0.477,8.696,223.3,239.2,239.0
12:02:23,43343,0.472,8.695,223.3,239.3,239.0
12:02:24,43344,0.471,8.696,223.3,239.2,239.0
12:02:25,43345,0.472,8.696,223.3,239.2,239.0
12:02:26,43346,0.474,8.696,223.3,239.2,239.0
12:02:27,43347,0.470,8.696,223.3,239.2,239.0
12:02:28,43348,0.468,8.695,223.3,239.2,239.0
12:02:29,43349,0.465,8.696,223.3,239.2,239.0
12:02:30,43350,0.464,8.696,223.3,239.2,239.0
12:02:31,43351,0.463,8.695,223.3,239.2,239.0
12:02:32,43352,0.465,8.695,223.3,239.2,239.0
12:02:33,43353,0.466,8.695,223.3,239.2,239.0
12:02:34,43354,0.463,8.696,223.3,239.2,239.0
12:02:35,43355,0.461,8.696,223.3,239.2,239.0
12:02:36,43356,0.460,8.695,223.3,239.2,239.0
12:02:37,43357,0.463,8.696,223.3,239.2,239.0
12:02:38,43358,0.460,8.696,223.3,239.2,239.0
12:02:39,43359,0.457,8.696,223.3,239.2,239.0
12:02:40,43360,0.456,8.696,223.3,239.2,239.0
12:02:41,43361,0.453,8.695,223.3,239.2,239.0
