,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
60:00:05,216005,0.787,8.677,181.4,181.2,181.0
60:00:06,216006,0.782,8.675,181.5,181.2,181.0
60:00:07,216007,0.781,8.676,181.4,181.2,181.0
60:00:08,216008,0.777,8.677,181.4,181.2,181.0
60:00:09,216009,0.776,8.676,181.5,181.2,181.0
60:00:10,216010,0.777,8.677,181.4,181.2,181.0
60:00:11,216011,0.776,8.675,181.5,181.2,181.0
60:00:12,216012,0.771,8.676,181.4,181.2,181.0
60:00:13,216013,0.770,8.676,181.5,181.2,181.0
60:00:14,216014,0.772,8.675,181.5,181.2,181.0
60:00:15,216015,0.771,8.676,181.4,181.2,181.0
60:00:16,216016,0.770,8.676,181.5,181.2,181.0
60:00:17,216017,0.769,8.678,181.4,181.1,181.0
60:00:18,216018,0.768,8.677,181.4,181.2,181.0
60:00:19,216019,0.765,8.676,181.5,181.2,181.0
60:00:20,216020,0.763,8.677,181.4,181.2,181.0
60:00:21,216021,0.763,8.678,181.4,181.1,181.0
60:00:22,216022,0.763,8.676,181.4,181.2,181.0
60:00:23,216023,0.761,8.677,181.4,181.2,181.1
60:00:24,216024,0.762,8.676,181.5,181.2,191.8
60:00:25,216025,0.760,8.676,181.4,181.2,194.0
60:00:26,216026,0.759,8.676,181.5,181.2,194.0
60:00:27,216027,0.759,8.676,181.5,181.2,194.0
60:00:28,216028,0.759,8.677,181.4,181.2,194.0
60:00:29,216029,0.757,8.676,181.5,181.2,194.0
60:00:30,216030,0.756,8.677,181.4,181.2,193.9
60:00:31,216031,0.753,8.676,181.4,181.2,194.0
60:00:32,216032,0.753,8.676,181.5,181.2,194.0
60:00:33,216033,0.756,8.676,181.5,181.2,194.0
60:00:34,216034,0.756,8.677,181.4,181.2,194.0
60:00:35,216035,0.751,8.677,181.5,181.2,194.0
60:00:36,216036,0.753,8.677,181.5,181.2,194.0
60:00:37,216037,0.754,8.677,181.5,181.2,194.0
60:00:38,216038,0.754,8.678,181.5,181.2,194.0
60:00:39,216039,0.747,8.679,181.4,181.2,193.9
60:00:40,216040,0.746,8.677,181.5,181.2,194.0
60:00:41,216041,0.744,8.677,181.5,181.2,194.0
60:00:42,216042,0.747,8.677,194.4,181.2,194.0
