,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
72:00:06,259206,0.667,8.681,208.3,208.0,207.9
72:00:07,259207,0.667,8.68,208.3,208.0,207.9
72:00:08,259208,0.668,8.681,208.3,208.0,207.9
72:00:09,259209,0.666,8.68,208.3,208.0,207.9
72:00:10,259210,0.664,8.68,208.3,208.0,207.9
72:00:11,259211,0.663,8.681,208.3,208.0,207.9
72:00:12,259212,0.657,8.68,208.3,208.0,207.9
72:00:13,259213,0.656,8.681,208.3,208.0,207.9
72:00:14,259214,0.663,8.68,208.3,208.0,207.9
72:00:15,259215,0.661,8.681,208.3,208.0,207.9
72:00:16,259216,0.661,8.682,208.3,208.0,207.9
72:00:17,259217,0.661,8.68,208.3,208.0,222.7
72:00:18,259218,0.656,8.681,208.3,208.0,222.7
72:00:19,259219,0.656,8.68,208.3,208.0,222.7
72:00:20,259220,0.656,8.68,208.3,208.0,222.7
72:00:21,259221,0.656,8.681,208.3,208.0,222.7
72:00:22,259222,0.654,8.68,208.3,208.0,222.7
72:00:23,259223,0.656,8.681,208.3,208.0,222.7
72:00:24,259224,0.656,8.681,208.3,208.0,222.7
72:00:25,259225,0.651,8.68,208.3,208.1,222.7
72:00:26,259226,0.654,8.68,208.3,208.1,222.7
72:00:27,259227,0.652,8.679,208.3,208.1,222.7
72:00:28,259228,0.652,8.681,208.3,208.1,222.7
72:00:29,259229,0.649,8.681,208.3,208.1,222.7
72:00:30,259230,0.647,8.68,208.3,208.1,222.7
72:00:31,259231,0.649,8.681,208.3,208.1,222.7
72:00:32,259232,0.644,8.679,208.3,208.2,222.7
72:00:33,259233,0.644,8.68,208.4,208.2,222.7
72:00:34,259234,0.644,8.681,208.3,208.3,222.7
72:00:35,259235,0.649,8.679,208.4,222.3,222.7
72:00:36,259236,0.649,8.681,208.3,222.9,222.7
72:00:37,259237,0.642,8.681,208.3,222.9,222.7
72:00:38,259238,0.640,8.68,208.4,222.9,222.7
72:00:39,259239,0.642,8.68,208.4,222.9,222.7
72:00:40,259240,0.640,8.68,208.4,222.9,222.7
72:00:41,259241,0.642,8.681,208.4,222.9,222.7
72:00:42,259242,0.640,8.68,208.4,222.9,222.7
72:00:43,259243,0.635,8.68,208.4,222.9,222.7
72:00:44,259244,0.640,8.681,208.4,222.9,222.7
72:00:45,259245,0.640,8.68,208.4,222.9,222.7
72:00:46,259246,0.640,8.681,208.4,222.9,222.7
72:00:47,259247,0.635,8.68,208.4,222.9,222.7
72:00:48,259248,0.637,8.68,208.4,222.9,222.7
72:00:49,259249,0.635,8.68,208.4,222.9,222.7
72:00:50,259250,0.635,8.68,208.4,222.9,222.7
72:00:51,259251,0.630,8.68,208.4,222.9,222.7
72:00:52,259252,0.635,8.681,208.4,222.9,222.7
72:00:53,259253,0.635,8.68,208.4,222.9,222.7
72:00:54,259254,0.630,8.68,208.5,222.9,222.7
72:00:55,259255,0.630,8.68,223.2,222.9,222.7
72:00:56,259256,0.630,8.68,223.2,222.9,222.7
72:00:57,259257,0.630,8.68,223.2,222.9,222.7
72:00:58,259258,0.627,8.679,223.2,222.9,222.7
72:00:59,259259,0.630,8.68,223.2,222.9,222.7
72:01:00,259260,0.623,8.68,223.2,222.9,222.7
72:01:01,259261,0.627,8.68,223.2,222.9,222.7
72:01:02,259262,0.628,8.68,223.2,222.9,222.7
72:01:03,259263,0.625,8.679,223.3,222.9,222.7
72:01:04,259264,0.623,8.68,223.2,222.9,222.7
72:01:05,259265,0.623,8.68,223.2,222.9,239.0
72:01:06,259266,0.625,8.68,223.2,222.9,239.0
72:01:07,259267,0.623,8.68,223.2,222.9,239.0
72:01:08,259268,0.623,8.68,223.2,222.9,239.0
72:01:09,259269,0.618,8.68,223.2,222.9,239.0
72:01:10,259270,0.623,8.68,223.2,222.9,239.0
72:01:11,259271,0.618,8.679,223.2,222.9,239.0
72:01:12,259272,0.616,8.68,223.2,222.9,239.0
72:01:13,259273,0.616,8.68,223.2,222.9,239.0
72:01:14,259274,0.616,8.68,223.2,222.9,239.0
