,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
96:01:57,345717,0.516,8.663,239.7,239.3,239.1
96:01:58,345718,0.520,8.662,239.7,239.4,239.2
96:01:59,345719,0.515,8.663,239.7,239.4,239.1
96:02:00,345720,0.515,8.662,239.7,239.4,239.1
96:02:01,345721,0.511,8.662,239.7,239.4,239.1
96:02:02,345722,0.514,8.662,239.7,239.4,239.2
96:02:03,345723,0.506,8.662,239.7,239.4,239.2
96:02:04,345724,0.506,8.662,239.7,239.3,239.1
96:02:05,345725,0.511,8.663,239.7,239.3,239.1
96:02:06,345726,0.514,8.662,239.7,239.4,239.1
96:02:07,345727,0.506,8.662,239.7,239.3,239.1
96:02:08,345728,0.506,8.663,239.7,239.3,239.1
96:02:09,345729,0.505,8.662,239.7,239.4,239.1
96:02:10,345730,0.501,8.663,239.7,239.3,239.1
96:02:11,345731,0.503,8.662,239.7,239.4,239.1
96:02:12,345732,0.503,8.663,239.7,239.3,239.1
96:02:13,345733,0.496,8.662,239.7,239.3,239.1
96:02:14,345734,0.501,8.662,239.7,239.3,239.1
96:02:15,345735,0.496,8.662,239.7,239.3,239.1
96:02:16,345736,0.496,8.663,239.7,239.3,239.1
96:02:17,345737,0.497,8.662,239.7,239.4,239.1
96:02:18,345738,0.493,8.662,239.7,239.4,239.1
96:02:19,345739,0.491,8.662,239.7,239.4,239.1
96:02:20,345740,0.493,8.663,239.7,239.3,239.1
96:02:21,345741,0.491,8.662,239.7,239.4,239.1
96:02:22,345742,0.489,8.662,239.7,239.4,239.1
96:02:23,345743,0.484,8.661,239.7,239.4,239.2
96:02:24,345744,0.484,8.663,239.7,239.3,239.1
96:02:25,345745,0.482,8.663,239.7,239.3,239.1
96:02:26,345746,0.481,8.662,239.7,239.3,239.2
96:02:27,345747,0.479,8.662,239.7,239.3,239.2
96:02:28,345748,0.479,8.661,239.8,239.4,239.2
96:02:29,345749,0.481,8.662,239.7,239.3,239.2
96:02:30,345750,0.484,8.663,239.7,239.3,239.1
96:02:31,345751,0.477,8.661,239.7,239.4,239.2
96:02:32,345752,0.479,8.663,239.7,239.3,239.1
96:02:33,345753,0.477,8.661,239.7,239.4,239.2
96:02:34,345754,0.472,8.662,239.7,239.4,239.2
96:02:35,345755,0.472,8.662,239.7,239.4,239.1
96:02:36,345756,0.472,8.661,239.8,239.4,239.2
96:02:37,345757,0.470,8.663,239.7,239.3,239.1
96:02:38,345758,0.472,8.663,239.7,239.4,239.1
96:02:39,345759,0.467,8.661,239.7,239.4,239.1
96:02:40,345760,0.465,8.662,239.7,239.4,239.1
96:02:41,345761,0.463,8.663,239.7,239.3,239.1
96:02:42,345762,0.465,8.66,239.8,239.4,239.2
96:02:43,345763,0.465,8.662,239.7,239.3,239.1
96:02:44,345764,0.463,8.662,239.7,239.3,239.1
96:02:45,345765,0.463,8.664,239.7,239.3,239.1
96:02:46,345766,0.458,8.663,239.7,239.3,239.1
96:02:47,345767,0.458,8.663,239.7,239.3,239.1
96:02:48,345768,0.458,8.661,239.8,239.4,239.2
96:02:49,345769,0.455,8.663,239.7,239.3,239.1
96:02:50,345770,0.453,8.661,239.8,239.4,239.1
96:02:51,345771,0.451,8.66,239.8,239.4,239.2
96:02:52,345772,0.453,8.66,239.8,239.4,239.2
96:02:53,345773,0.453,8.663,239.7,239.3,239.1
96:02:54,345774,0.451,8.673,239.3,239.1,238.8
96:02:55,345775,0.575,8.669,223.3,222.9,239.1
96:02:56,345776,0.696,8.655,194.7,194.5,208.2
96:02:57,345777,0.816,8.664,170.0,159.0,181.1
96:02:58,345778,0.958,8.659,136.2,135.3,144.2
96:02:59,345779,1.060,8.66,120.5,120.0,127.4
96:03:00,345780,1.165,8.659,107.5,107.3,113.2
96:03:01,345781,1.270,8.66,96.0,95.6,101.4
96:03:02,345782,1.379,8.659,84.7,84.6,90.4
96:03:03,345783,1.488,8.658,73.8,73.6,79.0
96:03:04,345784,1.606,8.661,63.8,63.7,69.8
96:03:05,345785,1.688,8.661,62.5,62.3,64.7
96:03:06,345786,1.694,8.661,62.5,62.3,62.3
96:03:07,345787,1.691,8.662,62.5,62.3,62.3
96:03:08,345788,1.695,8.662,62.5,62.3,62.3
96:03:09,345789,1.686,8.662,62.5,62.3,62.3
96:03:10,345790,1.687,8.662,62.5,62.3,62.3
96:03:11,345791,1.686,8.662,62.5,62.3,62.3
96:03:12,345792,1.684,8.662,62.5,62.3,62.3
