,,GWRV Last (V),PSV Last (V),G1R Last,G2R Last,G3R Last
108:00:09,388809,0.794,8.673,169.9,169.6,181.1
108:00:10,388810,0.794,8.674,169.9,169.6,181.1
108:00:11,388811,0.794,8.673,169.9,169.6,181.1
108:00:12,388812,0.797,8.675,169.8,169.6,181.1
108:00:13,388813,0.794,8.673,169.9,169.6,181.1
108:00:14,388814,0.790,8.674,169.9,169.6,181.1
108:00:15,388815,0.792,8.675,169.9,169.6,181.1
108:00:16,388816,0.792,8.674,169.9,169.6,181.1
108:00:17,388817,0.790,8.675,169.9,169.6,181.1
108:00:18,388818,0.787,8.674,169.9,169.6,181.1
108:00:19,388819,0.783,8.674,169.9,169.6,181.1
108:00:20,388820,0.783,8.675,169.9,169.6,181.1
108:00:21,388821,0.783,8.674,170.0,169.6,181.1
108:00:22,388822,0.783,8.675,181.5,169.6,181.1
108:00:23,388823,0.780,8.675,181.5,169.6,181.1
108:00:24,388824,0.780,8.675,181.5,169.6,181.1
108:00:25,388825,0.783,8.675,181.5,169.6,181.1
108:00:26,388826,0.776,8.675,181.5,169.6,181.1
108:00:27,388827,0.780,8.675,181.5,181.3,181.1
108:00:28,388828,0.780,8.675,181.5,181.3,181.1
108:00:29,388829,0.776,8.675,181.5,181.3,181.1
108:00:30,388830,0.771,8.676,181.5,181.2,181.1
108:00:31,388831,0.778,8.674,181.6,181.3,181.1
108:00:32,388832,0.771,8.675,181.5,181.3,181.1
108:00:33,388833,0.771,8.676,181.5,181.2,181.1
108:00:34,388834,0.776,8.674,181.5,181.3,181.1
108:00:35,388835,0.769,8.675,181.5,181.3,181.1
108:00:36,388836,0.766,8.675,181.5,181.3,181.1
108:00:37,388837,0.771,8.675,181.5,181.3,181.1
108:00:38,388838,0.764,8.675,181.6,181.3,181.1
108:00:39,388839,0.764,8.674,181.5,181.3,181.1
108:00:40,388840,0.764,8.675,181.5,181.3,181.1
108:00:41,388841,0.764,8.675,181.5,181.3,181.1
108:00:42,388842,0.762,8.674,181.6,181.3,181.1
108:00:43,388843,0.764,8.675,181.5,181.3,181.1
108:00:44,388844,0.757,8.674,181.6,181.3,181.1
108:00:45,388845,0.757,8.675,181.6,181.3,181.1
108:00:46,388846,0.762,8.675,181.5,181.3,181.1
108:00:47,388847,0.757,8.674,181.6,181.3,181.1
108:00:48,388848,0.757,8.675,181.6,181.3,181.1
108:00:49,388849,0.757,8.675,181.5,181.3,181.1
108:00:50,388850,0.757,8.675,181.6,181.3,181.1
108:00:51,388851,0.755,8.675,181.6,181.3,181.1
108:00:52,388852,0.755,8.675,181.6,181.3,181.1
108:00:53,388853,0.755,8.675,181.6,181.3,181.1
108:00:54,388854,0.750,8.674,181.6,181.3,181.1
108:00:55,388855,0.750,8.675,181.6,181.3,181.1
108:00:56,388856,0.752,8.675,181.6,181.3,190.7
108:00:57,388857,0.748,8.675,181.6,181.3,194.1
108:00:58,388858,0.750,8.675,181.6,181.3,194.1
108:00:59,388859,0.750,8.675,181.6,181.3,194.1
108:01:00,388860,0.750,8.675,181.6,181.3,194.1
108:01:01,388861,0.748,8.676,181.6,181.3,194.1
108:01:02,388862,0.745,8.675,181.6,181.3,194.1
108:01:03,388863,0.743,8.675,181.6,181.3,194.1
108:01:04,388864,0.744,8.675,181.6,181.3,194.1
108:01:05,388865,0.743,8.674,181.6,181.3,194.1
108:01:06,388866,0.743,8.675,181.6,181.3,194.1
108:01:07,388867,0.743,8.675,194.5,181.3,194.1
108:01:08,388868,0.743,8.676,194.5,181.3,194.1
108:01:09,388869,0.741,8.675,194.5,181.3,194.1
108:01:10,388870,0.740,8.675,194.5,181.3,194.1
108:01:11,388871,0.739,8.676,194.5,181.3,194.1
108:01:12,388872,0.741,8.675,194.5,181.3,194.1
108:01:13,388873,0.737,8.675,194.5,181.3,194.1
108:01:14,388874,0.739,8.676,194.5,181.3,194.0
108:01:15,388875,0.736,8.675,194.5,181.3,194.1
108:01:16,388876,0.736,8.675,194.5,181.3,194.1
108:01:17,388877,0.736,8.675,194.5,181.3,194.1
108:01:18,388878,0.734,8.675,194.5,181.3,194.1
108:01:19,388879,0.734,8.675,194.5,181.3,194.1
108:01:20,388880,0.736,8.674,194.5,181.3,194.1
108:01:21,388881,0.733,8.675,194.5,181.4,194.1
108:01:22,388882,0.735,8.675,194.5,181.4,194.1
108:01:23,388883,0.732,8.674,194.5,193.3,194.1
108:01:24,388884,0.735,8.675,194.5,194.3,194.1
108:01:25,388885,0.730,8.675,194.5,194.3,194.0
108:01:26,388886,0.729,8.675,194.5,194.3,194.1
108:01:27,388887,0.729,8.675,194.5,194.3,194.1
108:01:28,388888,0.727,8.675,194.5,194.3,194.1
108:01:29,388889,0.729,8.675,194.5,194.3,194.1
108:01:30,388890,0.729,8.674,194.5,194.3,194.1
108:01:31,388891,0.725,8.674,194.5,194.3,194.1
108:01:32,388892,0.727,8.675,194.5,194.3,194.1
108:01:33,388893,0.724,8.674,194.5,194.3,194.1
108:01:34,388894,0.727,8.675,194.5,194.3,194.0
108:01:35,388895,0.722,8.674,194.5,194.3,194.1
108:01:36,388896,0.724,8.674,194.5,194.3,194.1
108:01:37,388897,0.724,8.675,194.5,194.3,194.1
108:01:38,388898,0.717,8.674,194.5,194.3,194.1
108:01:39,388899,0.717,8.674,194.5,194.3,194.1
108:01:40,388900,0.720,8.674,194.5,194.3,194.1
108:01:41,388901,0.717,8.674,194.5,194.3,194.1
108:01:42,388902,0.715,8.675,194.5,194.3,194.1
108:01:43,388903,0.713,8.673,194.5,194.3,194.1
108:01:44,388904,0.715,8.674,194.5,194.3,194.1
108:01:45,388905,0.715,8.674,194.5,194.3,194.1
108:01:46,388906,0.715,8.674,194.5,194.3,194.1
108:01:47,388907,0.715,8.675,194.5,194.3,194.1
108:01:48,388908,0.708,8.674,194.5,194.3,194.1
108:01:49,388909,0.713,8.674,194.5,194.3,194.1
108:01:50,388910,0.715,8.675,194.5,194.3,194.1
108:01:51,388911,0.710,8.674,194.6,194.3,194.2
108:01:52,388912,0.710,8.675,194.5,194.3,208.0
108:01:53,388913,0.710,8.675,194.5,194.3,207.9
108:01:54,388914,0.705,8.675,194.5,194.3,207.9
108:01:55,388915,0.710,8.675,194.5,194.3,207.9
108:01:56,388916,0.710,8.675,194.5,194.3,207.9
108:01:57,388917,0.700,8.675,194.5,194.3,208.0
108:01:58,388918,0.700,8.674,194.5,194.3,208.0
108:01:59,388919,0.703,8.674,194.6,194.3,208.0
108:02:00,388920,0.700,8.675,194.5,194.3,207.9
108:02:01,388921,0.700,8.674,194.5,194.3,208.0
108:02:02,388922,0.703,8.675,194.5,194.3,208.0
108:02:03,388923,0.700,8.675,194.5,194.3,207.9
108:02:04,388924,0.698,8.674,194.6,194.3,208.0
108:02:05,388925,0.698,8.675,194.5,194.3,207.9
108:02:06,388926,0.696,8.674,194.5,194.3,207.9
108:02:07,388927,0.696,8.675,194.5,194.3,207.9
108:02:08,388928,0.695,8.675,194.5,194.3,207.9
108:02:09,388929,0.695,8.674,194.5,194.3,208.0
108:02:10,388930,0.691,8.675,194.5,194.3,207.9
108:02:11,388931,0.688,8.674,194.6,194.3,207.9
108:02:12,388932,0.688,8.675,194.5,194.3,207.9
108:02:13,388933,0.696,8.675,194.6,194.3,208.0
108:02:14,388934,0.688,8.675,194.5,194.3,207.9
108:02:15,388935,0.696,8.676,194.5,194.3,207.9
108:02:16,388936,0.686,8.675,194.6,194.3,207.9
108:02:17,388937,0.688,8.675,194.6,194.3,207.9
108:02:18,388938,0.686,8.675,194.7,194.3,207.9
108:02:19,388939,0.688,8.675,194.7,194.3,207.9
108:02:20,388940,0.688,8.676,208.4,194.3,207.9
108:02:21,388941,0.686,8.675,208.4,194.3,207.9
108:02:22,388942,0.688,8.675,208.4,194.3,207.9
108:02:23,388943,0.684,8.676,208.4,194.3,207.9
108:02:24,388944,0.677,8.675,208.4,194.3,207.9
108:02:25,388945,0.677,8.676,208.4,194.3,207.9
108:02:26,388946,0.672,8.675,208.4,194.3,207.9
108:02:27,388947,0.672,8.675,208.4,194.3,207.9
108:02:28,388948,0.672,8.676,208.4,194.3,207.9
108:02:29,388949,0.675,8.675,208.4,194.3,207.9
108:02:30,388950,0.674,8.675,208.4,195.2,207.9
108:02:31,388951,0.677,8.675,208.4,208.1,207.9
108:02:32,388952,0.674,8.675,208.4,208.1,207.9
108:02:33,388953,0.672,8.676,208.4,208.1,207.9
108:02:34,388954,0.672,8.675,208.4,208.1,207.9
108:02:35,388955,0.672,8.676,208.4,208.1,207.9
108:02:36,388956,0.670,8.676,208.4,208.1,207.9
108:02:37,388957,0.658,8.675,208.4,208.1,207.9
108:02:38,388958,0.665,8.676,208.4,208.1,207.9
108:02:39,388959,0.663,8.675,208.4,208.1,207.9
108:02:40,388960,0.663,8.674,208.4,208.1,207.9
108:02:41,388961,0.663,8.675,208.4,208.1,207.9
108:02:42,388962,0.660,8.674,208.5,208.1,207.9
108:02:43,388963,0.665,8.675,208.4,208.1,207.9
108:02:44,388964,0.662,8.675,208.4,208.1,207.9
108:02:45,388965,0.658,8.675,208.4,208.1,207.9
108:02:46,388966,0.655,8.676,208.4,208.1,207.9
108:02:47,388967,0.651,8.675,208.4,208.1,208.0
108:02:48,388968,0.652,8.675,208.4,208.1,207.9
108:02:49,388969,0.656,8.675,208.4,208.1,208.0
108:02:50,388970,0.655,8.674,208.4,208.2,208.0
108:02:51,388971,0.651,8.675,208.4,208.1,208.0
108:02:52,388972,0.651,8.675,208.4,208.1,208.0
108:02:53,388973,0.648,8.674,208.5,208.2,208.0
